Row ID,Variable Code,Variable,Consumption Category,Value,Variable Unit,Date,Reported Year,Prior Year
19000_2009_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3865.2,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4261.6,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4413.4,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4703.1,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4998.2,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,5346.1,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,5848.2,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,6124.6,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,6470.8,Millions of current dollars,12/31/2017,2017,2016
19000_2019_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,6759.9,Millions of current dollars,12/31/2019,2019,2018
19000_1997_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1533.9,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1632.3,Millions of current dollars,12/31/1998,1998,1997
19000_2018_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,6760.4,Millions of current dollars,12/31/2018,2018,2017
19000_1999_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1765.2,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1870.5,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1879.6,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,1979.1,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2072.2,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2213,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2279,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2345.3,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2335.4,Millions of current dollars,12/31/2007,2007,2006
19000_2008_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2279.1,Millions of current dollars,12/31/2008,2008,2007
19000_2009_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2175.6,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2157.7,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2236.7,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2314.4,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2378.8,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2442.2,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2539.2,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2679.5,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2773.8,Millions of current dollars,12/31/2017,2017,2016
19000_2018_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2847.6,Millions of current dollars,12/31/2018,2018,2017
19000_2019_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,2855.3,Millions of current dollars,12/31/2019,2019,2018
19000_2020_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,3126.6,Millions of current dollars,12/31/2020,2020,2019
19000_2021_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,3660.2,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-5_annual,SAPCE1-5,Total personal consumption expenditures: Furnishings and durable household equipment,Furnishings and durable household equipment,3849.7,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1651,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1815.1,Millions of current dollars,12/31/1998,1998,1997
19000_1999_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1906.6,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1915.7,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1909.2,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,1994.9,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2183.1,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2367.4,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2533.4,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2730.9,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2747.6,Millions of current dollars,12/31/2007,2007,2006
19000_2008_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2703.4,Millions of current dollars,12/31/2008,2008,2007
19000_2009_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2650.8,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2689.2,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2800.9,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,2881.2,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3015.4,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3099.5,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3135.8,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3292.6,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3487.3,Millions of current dollars,12/31/2017,2017,2016
19000_2018_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3553.6,Millions of current dollars,12/31/2018,2018,2017
19000_2019_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,3554,Millions of current dollars,12/31/2019,2019,2018
19000_2020_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,4103.1,Millions of current dollars,12/31/2020,2020,2019
19000_2021_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,4622,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-6_annual,SAPCE1-6,Total personal consumption expenditures: Recreational goods and vehicles,Recreational goods and vehicles,4816.3,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,857.6,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,913,Millions of current dollars,12/31/1998,1998,1997
19000_1999_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,974.2,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1022.4,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,982.8,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1012.4,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1075.1,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1141.2,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1183.1,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1279.9,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1325.6,Millions of current dollars,12/31/2007,2007,2006
19000_2008_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1343,Millions of current dollars,12/31/2008,2008,2007
19000_2009_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1354.6,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1415.1,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1448.7,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1508.1,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1504.8,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1503.8,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1479.9,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1473,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1457.8,Millions of current dollars,12/31/2017,2017,2016
19000_2018_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1466,Millions of current dollars,12/31/2018,2018,2017
19000_2019_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1459,Millions of current dollars,12/31/2019,2019,2018
19000_2020_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1412.7,Millions of current dollars,12/31/2020,2020,2019
19000_2021_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1722.2,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-7_annual,SAPCE1-7,Total personal consumption expenditures: Other durable goods,Other durable goods,1740.1,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,13674.6,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,13804.8,Millions of current dollars,12/31/1998,1998,1997
19000_1999_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,14774.1,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,15871.5,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,15954.7,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,16017.3,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,17009.9,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,18491.1,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,19724.9,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,21253.2,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,22290.5,Millions of current dollars,12/31/2007,2007,2006
19000_2009_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,22478.7,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,23509.2,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,25416.7,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,25890.4,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,26116.4,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,26556.3,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,25835.5,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,26037.2,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,26897.7,Millions of current dollars,12/31/2017,2017,2016
19000_2018_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,27942,Millions of current dollars,12/31/2018,2018,2017
19000_2019_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,28140.5,Millions of current dollars,12/31/2019,2019,2018
19000_2020_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,28548.1,Millions of current dollars,12/31/2020,2020,2019
19000_2021_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,32248.1,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-8_annual,SAPCE1-8,Total personal consumption expenditures: Nondurable goods,Nondurable goods,35529,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,4675.8,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,4772.5,Millions of current dollars,12/31/1998,1998,1997
19000_1999_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,5009.4,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,5202.9,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,5372.5,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,5418.5,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-9_annual,SAPCE1-9,Total personal consumption expenditures: Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption,5609.9,Millions of current dollars,12/31/2003,2003,2002
